work_first,not_happy
19.5,2.1
62.7,4.5
12.5,0.3
31.8,1.8
0,1.3
5.1,1.5
11.7,0.7
37.8,0.8
25.7,2.8
18.8,1.7
23.5,2.7
0,0.8
32.5,8.7
62.3,3.4
12.3,0.9
3.9,1.8
18,0.7
21.6,1.5
8.5,1.7
11.2,1.3
17.6,2.5
25.6,3.2
11.6,0.8
14,1.2
25.9,1.2
62.8,2.2
10.9,1
9.7,0.8
17,1.4
34.3,3.2
7,1.3
17.1,8.7
20.2,1.1
8.5,2.4
20.3,2.3
3.4,0.9
19.9,1.1
13.1,10
60,9.8
16.8,2.7
1,0.7
17.2,0.5
51.3,3.2
28.4,2.7
4.9,0.1
45.8,0.4
31.5,1.7
47,2
10.5,0.9
6.5,1
16.3,1.2
32.7,0.6
17.3,1.1
16.3,0.9
29.8,0.9
4.4,0.6
3.2,0.3
15.8,2
42.7,8.7
23.5,0.5
57.6,2.5
15.1,0.6
20.4,0.7
10.8,0.7
11,1.6
17,1.6
26,3.1
13.9,1.6
17.9,1.4
4.3,1
23.2,0.9
13,0.5
10.3,0.6
33.5,16
13,1.2
8.5,0.6
5.9,0.7
47.8,0.2
19.5,1.1
51.2,3.4
12.2,2
10.1,3
19.8,1.6
61.2,5.5
4.5,1.1
6.2,1.4
23.4,3.4
